-,-,-
1877, 745, -1767
1997, 998, -1997
1997, 782, -1997
1997, -511, -1997
1992, -1928, -1997
822, -1998, -563
-955, -1998, 1824
-1939, -1998, 1998
-1969, -1998, 1998
-1393, -1998, 1998
-635, -1998, 1998
-48, -1998, 1998
205, -1998, 1998
386, -1998, 1998
633, -1996, 1827
861, -1276, 554
1005, -859, -1253
813, -650, -1997
420, -47, -1997
-195, -115, -1885
-539, -896, -912
-567, -1515, -850
-137, -1100, -1788
85, -585, -1997
-107, -828, -1824
-419, -1234, -958
-566, -1180, -340
-598, -929, -141
-555, -826, -279
-497, -892, -333
-,-,-
899, 866, -1101
1822, 756, -1793
1997, 574, -1997
1997, 2, -1997
1997, -917, -1997
1603, -1837, -1380
-416, -1998, 1195
-1623, -1998, 1565
-1586, -1998, 801
-1283, -1998, 943
-967, -1998, 1867
-806, -1998, 1998
-719, -1998, 1998
-162, -1998, 1998
1281, -1998, 1847
1349, -1738, 217
1104, -220, -1663
736, -598, -1997
213, -1828, -1997
48, -1779, -1997
-76, -537, -1978
-87, 63, -1336
-87, 63, -1336
-31, -424, -850
-99, -973, -899
-162, -964, -1120
-242, -611, -918
-393, -480, -347
-516, -678, 24
-615, -1011, 177
-617, -1223, -51
-486, -1233, -486
-403, -1325, -706
-515, -1360, -510
-,-,-
227, 713, -731
841, 981, -1116
1596, 895, -1669
1997, 543, -1997
1997, -34, -1997
1997, -238, -1997
1997, -691, -1997
1798, -1868, -1062
-162, -1998, 555
-1712, -1998, 1307
-1976, -1998, 1846
-1998, -1998, 1998
-1994, -1998, 1998
300, -1998, 1998
877, -1998, 1820
963, -1831, 1825
963, -1831, 1825
770, -438, 1277
622, -1247, -452
892, -1921, -1996
396, -1155, -1997
-237, -1366, -1857
-453, -1045, -1654
-240, -585, -1690
-149, -585, -1303
-299, -778, -760
-521, -920, -355
-629, -918, -128
-563, -852, -107
-464, -837, -120
-385, -857, -262
-,-,-
99, 206, -212
934, 801, -709
1826, 1719, -1801
1997, 1645, -1997
1997, 64, -1997
1997, -680, -1997
1997, -711, -1997
1389, -1953, -1287
-328, -1998, 225
-1172, -1998, 964
-1238, -1998, 1261
-1372, -1998, 1998
-1023, -1998, 1998
-217, -1998, 1998
439, -1998, 1998
946, -1998, 1998
1314, -1970, 1380
1819, -1386, -1293
1920, -947, -1997
1094, -791, -1997
-68, -1656, -1981
-543, -1998, -1646
-68, -1665, -1875
733, -564, -1997
663, -198, -1997
79, -529, -1738
-545, -733, -603
-868, -819, 224
-786, -874, 183
-563, -723, -238
-408, -692, -327
-,-,-
1167, 932, -1449
1979, 1123, -1986
1997, 1788, -1997
1997, 1839, -1997
1997, 250, -1997
1997, -1410, -1997
1027, -1998, -1639
