-,-,-
327, 0, 911
763, 209, 978
1525, 566, 1136
1525, 566, 1136
1997, 1017, 1460
1997, 1544, 1807
1998, 1676, 1537
1998, 1110, 901
1997, -156, 292
1924, -1558, -68
1101, -1998, 22
159, -1998, 301
-321, -1998, 302
-889, -1998, 810
-893, -1965, 724
-776, -1480, 796
-671, -1322, 1067
-576, -1396, 1286
-478, -1375, 1313
-464, -1277, 1138
-398, -1210, 918
-,-,-
314, -42, 956
638, 116, 888
1239, 594, 910
1974, 1177, 951
1997, 1870, 1320
1997, 1997, 1421
1997, 1447, 1051
1998, -1436, 1474
1943, -1998, 1959
521, -1998, 1092
-1189, -1998, 27
-1944, -1998, -287
-1933, -1998, -52
-1515, -1642, 273
-1163, -938, 483
-921, -833, 811
-,-,-
1266, 578, 1260
1892, 1103, 1202
1997, 1867, 1131
1997, 1997, 1041
1997, 1838, 1183
1997, -899, 1669
1997, -1998, 1933
1315, -1998, 1059
-867, -1998, 403
-1926, -1998, 218
-1802, -1998, 217
-1474, -1583, 401
-1328, -1075, 596
-1140, -1003, 774
-923, -1127, 809
-,-,-
1965, 1149, 1525
1997, 1927, 1734
1997, 1997, 1369
1997, 1987, 947
1997, 1987, 947
1997, 315, 1073
1997, -1906, 1621
1334, -1998, 1632
-607, -1998, 995
-1521, -1998, 142
-1501, -1998, 91
-1191, -1605, 461
-756, -461, 996
-756, -461, 996
-653, -642, 1037
-,-,-
1883, 1103, 1510
1997, 1623, 1616
1997, 1995, 1681
1997, 1997, 1268
1997, 1862, 856
1997, -257, 1195
1994, -1995, 1978
1087, -1998, 1924
-735, -1998, 835
-1717, -1998, -752
-1771, -1998, -1118
-1046, -668, 246
-843, -513, 746
-843, -513, 746
-,-,-
1853, 1155, 1482
1997, 1960, 1954
1997, 1997, 1849
1997, 1997, 1465
1997, 1337, 1205
1997, -959, 1512
1997, -1998, 1570
1284, -1998, 788
-664, -1998, -127
-1440, -1998, -482
-1551, -1998, -74
-1306, -1800, 522
-997, -929, 794
-726, -550, 928
-,-,-
1844, 1083, 1303
1997, 1944, 1237
1997, 1997, 918
1997, 1997, 557
1997, 1070, 373
1997, -1862, 1430
1997, -1998, 1653
1492, -1998, 1265
-182, -1998, 1155
-782, -1998, 103
-1124, -1998, 210
-1063, -1865, 540
-887, -1370, 815
-652, -1177, 1074
-,-,-
948, 318, 1168
1613, 1014, 1349
1997, 1886, 1396
1997, 1997, 1372
1997, 1997, 1227
1997, 1681, 548
1997, -409, 957
1997, -409, 957
1997, -1965, 1556
1806, -1998, 1615
